ID1,ID2,Distance
BMN090655US2018,BMN090664US2018,0
BMN090655US2018,BMN090524US2018,0
BMN090655US2018,BMN090686US2018,0.0031745
ACDMN791790KE-,ACDMN791778KE-,0.00176137
BMN090397US2018,BMN090421US2018,0.00743393
BMN090655US2018,BMN090649US2018,0.0031745
BMN090655US2018,BMN090591US2018,0
BMN090655US2018,BMN090532US2018,0
BMN090655US2018,BMN090540US2018,0
BMN090655US2018,BMN090692US2018,0.00530352
BMN090655US2018,BMN090581US2018,0
BMN090655US2018,BMN090722US2018,0.00352758
A1MN791339KE-,A1MN791396KE-,0.00886346
BMN090655US2018,BMN090713US2018,0.00317338
BMN090655US2018,BMN090593US2018,0
BMN090655US2018,BMN090505US2018,0
BMN090655US2018,BMN090529US2018,0.000351957
BMN090655US2018,BMK115694US2016,0.0031745
BMN090655US2018,BMN090547US2018,0.0031745
BMN090655US2018,BMN090658US2018,0
BMN090655US2018,BMN090580US2018,0
BMN090655US2018,BMN090546US2018,0
BMN090655US2018,BMN090673US2018,0.00352758
BMN090655US2018,BMN090491US2018,0
BKY778387US2013,BMH843872US2013,0.000351718
BMN090655US2018,BMN090464US2018,0.0031745
BMN090397US2018,BMN090417US2018,0.00920978
BMN090655US2018,BMN090563US2018,0
BMN090655US2018,BMN090506US2018,0
ACDMN791790KE-,ACDMN791776KE-,0.00140867
BMN090655US2018,BMN090650US2018,0.0031745
BMN090655US2018,BMN090487US2018,0
BMN090655US2018,BMN090698US2018,0.00352758
BMN090655US2018,BMN090442US2018,0.0031745
BMN090397US2018,BMN090375US2018,0.0077874
BMN090655US2018,BMN090618US2018,0
BMN090655US2018,BMN090633US2018,0
BMN090655US2018,BMN090445US2018,0
BMN090655US2018,BMN090577US2018,0.000351833
BMN090655US2018,BMN090733US2018,0.0031745
BMN090655US2018,BMN090640US2018,0.0031745
BMN090655US2018,BMN090488US2018,0
BMN090655US2018,BMN090521US2018,0.00317338
BMN090655US2018,BMN090597US2018,0
A1MN791339KE-,A1MN791338KE-,0.00140854
BMN090655US2018,BMN090517US2018,0
BMN090655US2018,BMN090560US2018,0
BMN090397US2018,BMN090402US2018,0
A1MN791339KE-,A1MN791363KE-,0.00850559
BMN090397US2018,BMN090372US2018,0
BMN090655US2018,BMN090454US2018,0
A1MN791339KE-,A1MN791430KE-,0.0106528
ACDMN791790KE-,ACDMN791784KE-,0.00140867
BMN090655US2018,BMN090641US2018,0.0031745
BMN090655US2018,BMN090594US2018,0.00352758
ACDMN791790KE-,ACDMN791798KE-,0.00317536
BMN090655US2018,BMN090620US2018,0.0031745
BMN090655US2018,BMN090684US2018,0.00352758
BMN090655US2018,BMN090489US2018,0
CMK458123BW-,CMK458119BW-,0
BMN090655US2018,BMN090466US2018,0
BMN090655US2018,BMN090657US2018,0
BMN090655US2018,BMN090578US2018,0.0031745
ACDMN791790KE-,ACDMN791777KE-,0.0021145
BMN090655US2018,BMN090573US2018,0.0031745
BMN090655US2018,BMN090675US2018,0.0031745
BMT033344US-,BMT033299US-,0.0110086
BMN090397US2018,BMN090439US2018,0.00957405
BMN090655US2018,BMN090469US2018,0.0031745
A1MN791363KE-,A1MN791430KE-,0.00211413
BMN090655US2018,BMN090691US2018,0.00530352
BMN090655US2018,BMN090586US2018,0.00317338
BMN090655US2018,BMN090643US2018,0.00352758
BMN090655US2018,BMN090601US2018,0
BMN090655US2018,BMN090700US2018,0.00352758
BMN090655US2018,BMN090606US2018,0.00282063
BMN090655US2018,BMN090671US2018,0.00388077
A1MN791339KE-,A1MN791358KE-,0.00176102
BKY778387US2013,BMH843902US2013,0
A1MN791363KE-,A1MN791358KE-,0.00957372
BMN466989US2016,BMN467396US2016,0.00707791
A1MN791339KE-,A1MN791426KE-,0.00850559
A1MN791363KE-,A1MN791426KE-,0
BMN466989US2016,BMN466984US2016,0.00780107
A1MN791339KE-,A1MN791371KE-,0.0085086
A1MN791339KE-,A1MN791402KE-,0.00886346
ACDMN791790KE-,ACDMN791762KE-,0.00176137
A1MN791363KE-,A1MN791371KE-,0
A1MN791363KE-,A1MN791402KE-,0.000351949
BMN466989US2016,BMN467002US2016,0.00672337
BKY778387US2013,BMH843890US2013,0.000351833
BKY778387US2013,BMH843915US2013,0
BMN466989US2016,BMN466979US2016,0.00672337
BKY778387US2013,BMH843898US2013,0
CMT194176ZM2006,CKM049958ZM2006,0.000352089
ACDMN791790KE-,ACDMN791788KE-,0.00140867
BMN466989US2016,BMN467015US2016,0.00815948
A1MN791363KE-,A1MN791349KE-,0.00886344
-MN467165US2016,-MN467160US2016,0
A1MN791339KE-,A1MN791349KE-,0.00105604
BMN466989US2016,BMN467383US2016,0.00814627
BMN466989US2016,BMN467006US2016,0.00672337
BMN466989US2016,BMN467000US2016,0.00851225
BMN090664US2018,BMN090524US2018,0
BMN090664US2018,BMN090686US2018,0.0031745
BMN090664US2018,BMN090649US2018,0.0031745
BMN090664US2018,BMN090591US2018,0
BMN090664US2018,BMN090532US2018,0
BMN090664US2018,BMN090540US2018,0
BMN090664US2018,BMN090692US2018,0.00530352
BMN090664US2018,BMN090581US2018,0
BMN090664US2018,BMN090722US2018,0.00352758
BMN090664US2018,BMN090713US2018,0.00317338
BMN090664US2018,BMN090593US2018,0
BMN090664US2018,BMN090505US2018,0
